"gene","meanLFC"
"AACS",0.322420833333333
"AAR2",-0.7168
"AATF",-3.874
"ABCC1",0.603266666666667
"ABCC4",0.474233333333333
"ABI1",-1.74363333333333
"ABLIM1",-1.02073333333333
"ABLIM3",0.0158333333333334
"ACBD6",-0.7121
"ACIN1",-0.7207
"ACTN1",-2.26166666666667
"ACTN4",-1.60898333333333
"ACVR1",-0.279533333333333
"ADAM10",0.0675333333333334
"ADAM15",-0.322576666666667
"ADAMTSL1",-0.02455
"ADCK1",0.235466666666667
"ADD3",0.436043333333333
"ADGRL4",0.1496
"ADH5",-1.3738
"ADNP",0.0323633333333333
"ADRM1",-0.66929
"AEBP2",-0.738033333333333
"AFDN",0.620143333333333
"AFTPH",-1.356
"AGO1",-2.3008
"AGPAT5",-1.95273333333333
"AGPS",-1.1722
"AHCTF1",-1.39867
"AIFM1",-2.82833333333333
"AJUBA",0.972
"AKAP11",-0.79871
"AKAP8L",-0.556966666666667
"AKT3",-0.856966666666667
"ALCAM",0.84448
"ALDH1A2",-0.0718366666666667
"ALYREF",-4.84366666666667
"AMMECR1",0.414
"AMMECR1L",NA
"AMOT",-0.298266666666667
"ANAPC10",-7.38366666666667
"ANAPC16",-1.4593
"ANKHD1-EIF4EBP3",0.258033333333333
"ANKLE2",-3.20486666666667
"ANKRD17",-2.97333333333333
"ANKRD28",-0.248966666666667
"ANP32A",-1.35853333333333
"ANTXR2",-0.193525
"ANXA2",0.662833333333333
"AOPEP",0.109666666666667
"AP2M1",-0.105233333333333
"AP3B1",-0.764933333333333
"AP3S1",0.36671
"AP3S2",0.5756
"APBA1",0.371541666666667
"APC",-0.5598
"APOOL",-0.825323333333333
"APPL1",-0.00633333333333338
"ARAP3",-2.0567
"AREL1",-1.47093333333333
"ARF3",-0.9954
"ARFRP1",-5.455
"ARGLU1",-2.183
"ARHGAP10",-0.978233333333333
"ARHGAP21",1.69066666666667
"ARHGEF25",-0.8111
"ARHGEF28",-1.44666666666667
"ARHGEF3",-1.0229
"ARHGEF40",-0.596533333333333
"ARID1A",-0.7246
"ARID1B",-0.3435
"ARID2",1.601
"ARID3B",-1.49056666666667
"ARID5A",-0.486566666666667
"ARID5B",-0.579506666666667
"ARL3",-0.565333333333333
"ARMH1",0.0855
"ARMH3",-1.191225
"ARRDC3",1.35916666666667
"ASCC3",-2.711
"ASS1",-0.699266666666667
"ATF2",-0.693
"ATF3",-1.1801
"ATF7",0.7358
"ATG13",0.587623333333333
"ATG4A",0.61695
"ATG4C",0.46355
"ATL3",-0.817806666666667
"ATP11C",0.312466666666667
"ATP1A1",-1.17753333333333
"ATP2B1",-0.07287
"ATP6V0A2",0.0937333333333333
"ATP6V0D1",-1.69066666666667
"ATP6V0E1",0.1655
"ATP6V1G2-DDX39B",-0.0454666666666666
"ATPAF1",-1.67833333333333
"ATR",-5.4635
"ATRX",-4.0065
"ATXN1",-1.27503333333333
"ATXN7L2",-1.23793333333333
"AXIN1",2.748
"BABAM2",0.8922
"BAHD1",-0.0376666666666667
"BAMBI",-0.251933333333333
"BAZ2A",-0.366066666666667
"BBX",2.5647
"BCL2L1",-1.06726666666667
"BCL6",-0.951333333333333
"BCL9",1.13093333333333
"BCL9L",-0.7824
"BCLAF1",-1.70056666666667
"BCORL1",0.267466666666667
"BCR",0.619463333333333
"BDNF",0.2578
"BICRAL",-0.305113333333333
"BIN1",-0.0143
"BIN3",-0.477333333333333
"BLACAT1",0.382115
"BLCAP",0.6251
"BMI1",-0.2366
"BMP4",-0.879333333333333
"BNIP2",-0.13625
"BOD1L1",-3.838
"BORCS7-ASMT",-0.5878
"BPTF",-0.47475
"BRAP",-3.71066666666667
"BRD8",-4.16
"BRIP1",-2.1257
"BRPF1",-0.9998
"BTAF1",-2.171
"BTBD10",-1.8225
"BTBD3",-0.174696333333333
"BTBD8",0.0481333333333333
"BUB3",-4.114
"C11orf49",-0.323933333333333
"C14orf80",-4.1079
"C16orf72",-5.30633333333333
"C18orf25",-0.478793333333333
"C1D",-2.7825
"C1orf52",-0.404466666666667
"C1orf85",-0.0463026666666667
"C21orf59",-3.67866666666667
"C2CD5",-0.253633333333333
"C5orf34",-0.35521
"CAAP1",-0.9269
"CABCOCO1",-0.2878
"CACNA2D1",0.0757333333333334
"CACNA2D2",-0.5637
"CALCOCO1",0.773666666666667
"CALD1",-0.399766666666667
"CAMK2D",0.446736666666667
"CAMK2G",-1.8596
"CAMLG",-1.34163333333333
"CAP1",-1.384
"CASK",-0.421566666666667
"CAVIN2",0.379733333333333
"CBX4",-0.0426
"CBX5",-1.0168
"CCAR1",-2.88966666666667
"CCDC88A",-0.954393333333333
"CCDC91",0.0346333333333333
"CCNC",1.18266666666667
"CCND1",-7.251
"CCND3",-0.44765
"CCNE2",-0.4142
"CCNL1",0.4881
"CCNL2",0.185866666666667
"CCT3",-4.97227666666667
"CD58",-0.7836
"CDC27",-1.94536666666667
"CDC42",-4.6613
"CDC5L",-4.21116666666667
"CDC6",-4.682
"CDC7",-4.624
"CDC73",-3.2405
"CDCA7",1.0679
"CDH2",-2.32066666666667
"CDHR1",-0.8202
"CDK12",-2.42466666666667
"CDK14",0.204866666666667
"CDK5RAP2",-0.5397
"CDKAL1",-1.73893333333333
"CDKN2C",1.12766666666667
"CELF1",0.478166666666667
"CELF6",-0.119106666666667
"CEMIP",-0.5457
"CENPA",-1.393
"CENPE",-1.55246666666667
"CENPF",-2.0038
"CEP250",-1.19356666666667
"CEP70",-0.359033333333333
"CEPT1",0.392956666666667
"CFAP20DC",-0.054525
"CFAP251",0.382025
"CFAP299",-0.8326
"CHCHD3",0.2817
"CHD2",-0.884766666666667
"CHD3",0.198233333333333
"CHD4",-4.30083333333333
"CHD7",-2.87506666666667
"CHD9",-1.16853333333333
"CHIC2",-0.651966666666667
"CHKA",0.510333333333333
"CHM",1.219
"CHRDL1",0.626033333333333
"CHTOP",-1.76856666666667
"CHUK",-0.946266666666667
"CIC",0.950133333333333
"CIP2A",0.090375
"CIR1",-4.424
"CIT",0.120333333333333
"CIZ1",-0.986366666666667
"CLASP2",-0.26655
"CLCF1",0.0327466666666666
"CLCN3",-0.4143
"CLINT1",-1.94466666666667
"CLIP1",0.365443333333333
"CLK1",-0.358
"CLK2",-0.3393
"CLK4",-0.548066666666667
"CLN6",-1.3745
"CLOCK",-0.3866
"CLPB",-0.384
"CLSPN",-0.284346666666667
"CLSTN1",-0.660333333333333
"CLTA",0.353766666666667
"CLTC",-3.824
"CMPK1",-3.324
"CMTR1",-2.48866666666667
"CNOT2",-3.0959
"CNOT9",-0.24807
"CNRIP1",-0.444
"CNTFR",-0.139626666666667
"COL12A1",0.0111333333333333
"COL2A1",-0.437136666666667
"COL8A1",-0.240433333333333
"COPA",-6.4485
"COPZ1",-2.53
"COX10",-0.7424
"COX7A2L",-0.3367
"CPA4",0.389733333333333
"CPSF4",-2.2406
"CPSF6",-3.112
"CPVL",-0.75025
"CREB1",-4.456
"CREBBP",0.51317
"CRIM1",-0.328883333333333
"CSDE1",-0.4512
"CSNK1A1",-0.639663333333333
"CSNK1D",0.27792
"CSNK2A2",0.0923133333333333
"CSRNP2",-0.3765
"CSTF2",-0.560133333333333
"CTCF",-4.944
"CTDSPL2",-1.71646666666667
"CTNNA1",-1.61676666666667
"CTNNAL1",-0.209966666666667
"CTNND1",-0.547933333333333
"CTPS2",0.1997
"CTR9",-4.729
"CUL3",4.24233333333333
"CUL4B",-0.656533333333333
"CUX1",0.308156666666667
"CWC27",-0.31707
"CWF19L1",-0.1759
"CXXC5",-2.1005
"CYFIP2",1.10026666666667
"CYHR1",-1.08233333333333
"CYRIB",2.82666666666667
"DAZAP1",-1.22373333333333
"DCTD",-0.875533333333333
"DDAH1",0.774566666666667
"DDX10",-4.973
"DDX17",-0.09365
"DDX31",-2.316
"DDX46",-3.81166666666667
"DDX5",-0.956833333333333
"DENND2B",1.14485
"DERA",0.0154666666666667
"DFFB",-0.480266666666667
"DGCR8",-3.845
"DGKZ",-1.09453333333333
"DHFR",-0.363266666666667
"DHRS11",-1.10246
"DHRS7",-1.23635333333333
"DHX15",-3.86566666666667
"DHX30",-0.4249
"DHX40",-2.1083
"DHX9",-5.711
"DKC1",-4.583
"DLC1",-0.222866666666667
"DLG1",-0.2665
"DLG3",-0.841066666666667
"DLG4",-0.59975
"DLGAP4",-1.44803333333333
"DLST",-2.50925
"DMKN",0.608396666666667
"DNAAF5",-3.38466666666667
"DNAAF6",0.9339
"DNAJC1",-0.6165
"DNAJC13",-0.1303
"DNM1L",0.422346666666667
"DOCK10",-0.1643
"DOCK7",-1.978
"DOCK9",0.02654
"DONSON",-2.0935
"DPCD",-1.23196666666667
"DPH6",-1.67903333333333
"DROSHA",-3.88778666666667
"DST",-0.350266666666667
"DSTN",-0.0456333333333333
"DTL",-5.667
"DUSP6",-0.480933333333333
"DYM",-0.6593
"DYNC1I2",-3.37
"DYRK2",-0.5017
"DYSF",0.74345
"E2F3",-3.40266666666667
"E2F8",1.27313333333333
"EDNRA",0.872966666666667
"EEA1",-1.5456
"EEF1E1-BLOC1S5",0.475166666666667
"EEFSEC",-5.477
"EFCAB14",-0.68721
"EFEMP1",-1.0889
"EFNA5",-0.00495000000000001
"EFNB1",-0.734533333333333
"EFNB2",0.497626666666667
"EFNB3",-0.0968
"EFR3A",-0.735733333333333
"EIF2AK2",0.607766666666667
"EIF2AK4",-1.101
"EIF2B3",-2.28563333333333
"EIF3A",-5.488
"EIF3E",-6.40266666666667
"EIF3H",-3.929
"EIF3M",-3.52726666666667
"EIF4A2",0.420466666666667
"EIF4E3",-0.499696666666667
"EIF4G3",-1.0094
"EIF5A",-1.5775
"ELF2",-0.3099
"ELF4",-0.0846466666666667
"ELK3",-2.17266666666667
"EMC2",-0.797196666666667
"EML4",0.3003
"ENAH",0.408333333333333
"ENTPD6",-0.40506
"EPAS1",-1.3314
"EPB41",-0.749366666666667
"EPB41L3",1.2475
"EPHB2",0.2473
"EPPIN-WFDC6",-1.0373
"EPS15",0.239296666666667
"EPS15L1",-1.2568
"ERCC3",-4.793
"ERF",-0.6537
"ERRFI1",-3.044953
"ETFA",-0.136466666666667
"ETNK1",1.69785
"ETS1",-1.04696666666667
"ETV1",0.243566666666667
"ETV5",-1.2188
"EVI5",-0.1759
"EWSR1",-2.16333333333333
"EXOC4",-3.819
"EXOC6",-0.828566666666667
"EXT1",1.45584666666667
"EXT2",0.847306666666667
"EZH2",0.0146333333333334
"FAM114A1",-1.11816666666667
"FAM120A",-2.40526666666667
"FAM120B",0.0562
"FAM122B",-0.717866666666667
"FAM13B",0.0951333333333333
"FAM168A",-0.452066666666667
"FAM204A",-1.49966666666667
"FAM222B",-0.0826666666666667
"FAM53C",-1.05733333333333
"FAM76B",-0.67987
"FANCL",-3.871
"FAP",-1.509
"FAR1",0.106566666666667
"FARSB",-3.43166666666667
"FBN1",-0.21815
"FBXL19",-2.07366666666667
"FBXL7",0.528
"FBXW11",-0.6902
"FBXW4",-0.46037
"FGFR1",-1.41461333333333
"FGFR2",0.1711
"FHL1",-0.193313333333333
"FHL3",-0.302266666666667
"FHOD3",0.126766666666667
"FIP1L1",-4.45763333333333
"FKBP5",-0.0106
"FLNB",0.852933333333333
"FMR1",0.653953333333333
"FN1",-0.1923
"FNBP1L",0.4604
"FNBP4",-3.693
"FNDC3A",-1.48363333333333
"FNDC3B",-2.24817
"FOSL1",-1.722
"FOSL2",-0.218733333333333
"FOXO3",0.402666666666667
"FOXP4",0.430713333333333
"FPGT-TNNI3K",0.428866666666667
"FST",-0.187366666666667
"FSTL1",-1.26943333333333
"FUBP1",-2.27933333333333
"FUBP3",0.5635
"FUS",0.108566666666667
"FUT8",-0.8594
"FUZ",0.107666666666667
"FXR1",-0.35715
"FYN",0.71337
"FZD4",0.3627
"G3BP2",-0.1015
"GADD45A",0.542733333333333
"GALE",-0.320566666666667
"GALNT10",-0.1397
"GART",0.695413333333333
"GATA2",0.038
"GATAD2A",-0.6509
"GATAD2B",-1.0863
"GBE1",0.804033333333333
"GBF1",-1.6358
"GCDH",-0.124666666666667
"GDF6",-0.355666666666667
"GDI2",-0.656733333333333
"GGA2",0.150346666666667
"GGA3",0.67045
"GIGYF2",-1.44866666666667
"GLB1",-0.725633333333333
"GLCCI1",0.0575166666666667
"GLI4",-0.5933
"GLS",-0.2261
"GLYCTK",-0.300893333333333
"GMDS",-1.90696666666667
"GNAS",3.89166666666667
"GNL2",-1.91963333333333
"GOSR2",-5.777
"GPBP1",-0.674366666666667
"GPC3",-0.627133333333333
"GPC4",0.431333333333333
"GPX8",-0.5218
"GRTP1",-0.943623333333333
"GSK3B",0.7662
"GSPT1",-1.6349
"GSTO2",-1.15469333333333
"GTF2B",-1.444
"GTF2I",-0.3183
"GTPBP1",-2.835
"GTSF1",-0.1096
"GULP1",-1.67666666666667
"GYG2",0.019
"H2BC5",0.101333333333333
"H3-3A",0.1492
"HADH",0.647933333333333
"HAT1",1.42753333333333
"HCFC2",-0.6911
"HDAC1",-1.71917
"HDAC5",-2.16736666666667
"HDAC7",-1.8453
"HDAC8",-1.4615
"HDAC9",0.07264
"HDGF",-0.9455
"HDHD2",0.371183333333333
"HECTD1",-0.914433333333333
"HHEX",0.3435
"HHIP",-1.1565
"HIBADH",0.4246
"HIGD1A",0.44875
"HIPK1",0.2069
"HMG20A",-0.123233333333333
"HMGA2",-0.985233333333333
"HMGB1",-0.7105
"HMGN2",-0.42855
"HMGN5",-0.201833333333333
"HMGXB3",-2.29466666666667
"HMGXB4",-0.755
"HNRNPAB",-0.66215
"HNRNPC",-1.1905
"HNRNPD",-3.4192
"HNRNPH1",-1.577
"HNRNPH3",-0.728603333333333
"HNRNPK",-3.39466666666667
"HNRNPL",-3.65966666666667
"HNRNPLL",0.655166666666667
"HNRNPM",0.0208
"HNRNPR",-1.405
"HNRNPU",-4.48366666666667
"HOXA10",-0.367566666666667
"HOXA11",-0.427533333333333
"HOXA7",-0.329733333333333
"HOXC5",-0.496333333333333
"HPS5",0.169
"HSD17B12",-1.9395
"HSPA12A",0.0248666666666667
"HUWE1",-1.5602
"ICE2",-1.8162
"ID2",0.7293
"IDE",-1.15256666666667
"IFFO1",-0.3589
"IFT172",0.261766666666667
"IFT43",0.379
"IFT57",-0.530066666666667
"IFTAP",-0.238
"IGBP1",-4.28616666666667
"IGF2BP1",-0.6192
"IGF2BP2",-1.69783333333333
"IGF2R",0.4771
"IGFBP4",-0.657706
"IGSF3",-1.0564
"IL32",-1.08456666666667
"ILF3",-5.56366666666667
"IMMP1L",-0.13635
"INHBA",0.216166666666667
"INKA2",-0.117636666666667
"INO80",-1.83093666666667
"INPP4A",0.417474333333333
"INPP5A",-0.6926
"INTS6",-4.95166666666667
"INTS6L",0.088
"IPO13",-3.06566666666667
"IRF2BP2",-1.79026666666667
"IRX5",-0.767333333333333
"ITCH",-0.922733333333333
"ITGA4",0.426033333333333
"ITGB3BP",-0.35795
"ITPRID1",-0.0592333333333333
"IVNS1ABP",0.0987
"JADE1",-0.4035
"JADE2",-0.222433333333333
"JADE3",0.00890666666666664
"JAG1",-0.130733333333333
"JARID2",-0.8574
"JAZF1",-0.805233333333333
"JHY",-0.494066666666667
"JMJD1C",-0.0744
"JUP",1.71873333333333
"KANK1",-1.00416666666667
"KANSL1",-1.3752
"KANSL3",-3.57966666666667
"KCNH1",0.225176666666667
"KCTD15",0.928466666666667
"KDM1A",-0.8315
"KDM2B",0.0328566666666667
"KDM3B",0.151813333333333
"KDM4B",-1.176
"KDM5B",-0.202566666666667
"KDM6A",2.346
"KHDC4",0.103333333333333
"KHSRP",-2.665
"KIAA0319L",-0.0469
"KIAA0586",-0.221093333333333
"KIF11",-5.77033333333333
"KIF18B",-1.60936666666667
