"gene","meanLFC"
"AACS",-0.411966666666667
"AAR2",-0.35945
"AATF",-2.59266666666667
"ABCC1",0.603602333333333
"ABCC4",0.889966666666667
"ABI1",0.149666666666667
"ABLIM1",0.1793
"ABLIM3",0.0713333333333333
"ACBD6",-0.52495
"ACIN1",-0.276566666666667
"ACTN1",0.234183333333333
"ACTN4",0.9751
"ACVR1",-0.37815
"ADAM10",-0.451216666666667
"ADAM15",-0.859333333333333
"ADAMTSL1",-0.092035
"ADCK1",0.145323333333333
"ADD3",-0.1564
"ADGRL4",0.1875
"ADH5",-0.343833333333333
"ADNP",-0.179083333333333
"ADRM1",-0.15951
"AEBP2",-0.0546666666666667
"AFDN",0.233063333333333
"AFTPH",-0.646533333333333
"AGO1",-1.03183333333333
"AGPAT5",-1.76326666666667
"AGPS",-0.58615
"AHCTF1",-0.6368
"AIFM1",-1.94333333333333
"AJUBA",-0.2805
"AKAP11",-0.417766666666667
"AKAP8L",-0.512933333333333
"AKT3",0.0797933333333333
"ALCAM",-0.26518
"ALDH1A2",-0.0339
"ALYREF",-2.36333333333333
"AMMECR1",0.47705
"AMMECR1L",NA
"AMOT",-0.0957966666666667
"ANAPC10",-4.31566666666667
"ANAPC16",-0.391685
"ANKHD1-EIF4EBP3",-0.125266666666667
"ANKLE2",-1.65483333333333
"ANKRD17",-0.864233333333333
"ANKRD28",0.01378
"ANP32A",-0.912666666666667
"ANTXR2",0.333065
"ANXA2",-0.428826666666667
"AOPEP",-0.0254566666666667
"AP2M1",-1.48338
"AP3B1",-0.24267
"AP3S1",-0.592106233333333
"AP3S2",0.41235
"APBA1",0.3897
"APC",-0.0767866666666667
"APOOL",-0.354696666666667
"APPL1",0.3583
"ARAP3",-0.103006666666667
"AREL1",-1.02256666666667
"ARF3",-0.967043333333333
"ARFRP1",-1.735925
"ARGLU1",-0.912033333333333
"ARHGAP10",-0.3256
"ARHGAP21",-0.632833333333333
"ARHGEF25",-0.277266666666667
"ARHGEF28",-0.212313333333333
