"FractionCutoff","DoubleX fitness","DoubleX nonfitness","SingleX fitness","SingleX nonfitness"
"0",41.08,33.33,0,0
"0.01",41.08,33.33,0,0
"0.02",41.08,33.33,0,0
"0.03",41.08,33.33,0,0
"0.04",41.08,33.33,0,0
"0.05",41.08,33.33,0,0
"0.06",41.08,33.33,0,0
"0.07",41.08,33.33,0,0
"0.08",41.08,33.33,0,0
"0.09",41.08,33.33,0,0
"0.1",41.08,33.33,0,0
"0.11",41.08,33.33,0,0
"0.12",41.08,33.33,0,0
"0.13",41.08,33.33,0,0
"0.14",41.08,31.88,0,0
"0.15",40.66,30.43,0,0
"0.16",40.66,27.54,0,0
"0.17",40.25,23.19,0,0
"0.18",40.25,23.19,0,0
"0.19",39.83,20.29,0,0
"0.2",39.83,18.84,0,0
"0.21",39.83,18.84,0,0
"0.22",39.42,17.39,0,0
"0.23",38.59,15.94,0,0
"0.24",38.59,15.94,0,0
"0.25",36.51,14.49,0,0
"0.26",36.51,14.49,0,0
"0.27",36.51,14.49,0,0
"0.28",36.51,11.59,0,0
"0.29",35.68,10.14,0,0
"0.3",34.85,10.14,0,0
"0.31",34.85,10.14,0,0
"0.32",34.85,10.14,0,0
"0.33",34.85,10.14,0,0
"0.34",30.29,10.14,0,0
"0.35",30.29,10.14,0,0
"0.36",29.88,10.14,0,0
"0.37",29.46,10.14,0,0
"0.38",28.22,10.14,0,0
"0.39",27.8,10.14,0,0
"0.4",26.14,7.25,0,0
"0.41",26.14,7.25,0,0
"0.42",26.14,7.25,0,0
"0.43",26.14,7.25,0,0
"0.44",26.14,7.25,0,0
"0.45",25.73,7.25,0,0
"0.46",25.31,7.25,0,0
"0.47",24.9,7.25,0,0
"0.48",24.9,7.25,0,0
"0.49",24.9,7.25,0,0
"0.5",16.6,5.8,0,0
"0.51",16.6,5.8,0,0
"0.52",16.6,5.8,0,0
"0.53",16.6,5.8,0,0
"0.54",16.6,5.8,0,0
"0.55",16.6,5.8,0,0
"0.56",16.6,5.8,0,0
"0.57",16.6,5.8,0,0
"0.58",16.18,5.8,0,0
"0.59",16.18,5.8,0,0
"0.6",13.69,4.35,0,0
"0.61",13.69,4.35,0,0
"0.62",13.69,4.35,0,0
"0.63",13.28,4.35,0,0
"0.64",13.28,4.35,0,0
"0.65",13.28,4.35,0,0
"0.66",13.28,4.35,0,0
"0.67",8.3,1.45,0,0
"0.68",8.3,1.45,0,0
"0.69",8.3,1.45,0,0
"0.7",7.47,1.45,0,0
"0.71",7.47,1.45,0,0
"0.72",7.47,0,0,0
"0.73",7.47,0,0,0
"0.74",7.47,0,0,0
"0.75",5.81,0,0,0
"0.76",5.81,0,0,0
"0.77",5.81,0,0,0
"0.78",5.81,0,0,0
"0.79",5.81,0,0,0
"0.8",5.39,0,0,0
"0.81",5.39,0,0,0
"0.82",5.39,0,0,0
"0.83",5.39,0,0,0
"0.84",5.39,0,0,0
"0.85",5.39,0,0,0
"0.86",5.39,0,0,0
"0.87",5.39,0,0,0
"0.88",5.39,0,0,0
"0.89",5.39,0,0,0
"0.9",5.39,0,0,0
"0.91",5.39,0,0,0
"0.92",5.39,0,0,0
"0.93",5.39,0,0,0
"0.94",5.39,0,0,0
"0.95",5.39,0,0,0
"0.96",5.39,0,0,0
"0.97",5.39,0,0,0
"0.98",5.39,0,0,0
"0.99",5.39,0,0,0
"1",0,0,0,0
